Name,Quantities,Warehouse ID
NO IDENTIFICADO 0,27,1
Capuccino Moka 750g NES 9,36,2
Bimbollos Ext sAjonjoli 6p 480g BIM 41,42,2
Burritos Sincro 170g CU LON 53,33,1
Div Tira Mini Doradita 4p 45g TR 72,60,1
Pan Multigrano Linaza 540g BIM 73,64,1
Tostado Integral 180g WON 98,49,2
Pan Blanco 567g WON 99,4,2
Super Pan Bco Ajonjoli 680g SP WON 100,29,2
Wonder 100pct mediano 475g WON 106,29,2
Wonder 100pct gde 680g SP WON 107,40,2
Baguette Precocida Cong 280g DH 108,46,2
Pan Multicereal 475g WON 109,51,1
Tostado Integral 180g WON 112,64,1
Biscotel Receta Original 410g CU SUA 122,42,1
Super Bollos 5in 8p 540g WON 123,89,1
Bollos 8p 450g WON 125,69,1
Bollos BK 4in 36p 1635g SL 131,35,2
Bollos BK 5in 30p 1730g SL 132,26,2
Bollos BK 4in 30p 1635g TIR SL 134,64,2
Bollos BK 5in 20p 1730g TIR SL 135,35,1
Hot Dogs 8p 290g WON 141,24,1
Super Hot Dogs 8p 435g WON 145,61,1
Medias Noches 24p 470g BK SL 151,66,1
Bollo WB 5in snAjn 20p 1950g SL 157,23,2
Molido Bolsa 180g WON 160,6,2
Bollos KFC 5in 15p 1237g WON 161,16,1
Molido 25Kg WON 162,50,2
Molido 5Kg WON 163,72,1
Tostado Int 0pct Grasa Azucar 200g WON 179,8,2
Tortillas Harina 260g 10p WON 183,84,2
Bollos 5in 12p 976g SL 202,42,2
Bollos 4in 18p 1000g SL 205,0,1
Bollos Carls Jr 1080g SL 214,84,2
Hot Dog Estilo Sonora 500g BIM 217,70,2
Marias 170g TAB LAR 248,91,1
Dalmata 1p 55g MLA 303,9,1
Chocotorro Fresa 1p 50g MLA 306,84,1
Dalmata 1p 55g MLA 308,22,1
Tuinky Chocolate 2p 76g WON 321,47,2
Tuinky Fresas con Crema 2p WON 322,66,1
Tuinky Chocolate 3p 114g WON 323,7,2
Tuinky Vainilla 3p 114g WON 325,62,2
Tuinky Fresas Crema 3p 114g WON 328,41,2
Panitos Chocolate 30g WON 357,52,2
Canelitas Inst 30g MLA 412,93,1
Dalmata 1p 55g Tira MLA 523,77,1
Bombonete SC 55g Cj MLA 614,12,2
Canelitas 900g MLA 617,33,1
Nito ME 4p 248g BIM 630,80,1
Mantecadas ME 8p 250g BIM 632,72,1
Donitas Espolvoreadas ME 12p 210g BIM 634,5,2
Donas Azucar ME 8p 210g BIM 635,47,1
Bollo Extra Grande 15p 1200g BIM 641,55,2
Figatza 345g BIM 665,48,1
Tostada Plana 15p 175g MR 693,85,2
Pan Multigrano 680g ORO 713,92,2
7 Granos 680g ORO 714,56,2
Pan 100pct Integral 680g ORO 715,62,2
Saladas 200p 2 4Kg LAR 739,24,1
Pan Blanco Silueta 500g BIM 779,56,1
Mini Principe 45g MLA 799,49,2
Tostada Ondulada Reg 30p 360g MR 815,30,2
Gansito 10p 500g MLA 831,78,2
Tostada Tubo 3pq 360g MR 890,96,1
Tostada Ond Tubo 30p 360g Prom MR 897,60,2
Bolillo Congelado 80g DH 915,64,2
Roles Canela 6p 365g BIM 972,67,1
